sample id,correct,sentence length,num relations,token distance,char distance,variability
3046,False,31,3,3,14,0.6645962732919255
5082,True,32,2,13,80,0.34065934065934067
5082,True,32,2,15,91,0.34065934065934067
3786,False,13,1,3,15,0.656108597285068
4161,True,39,1,10,64,0.7379912663755458
2458,True,19,1,2,21,0.8167539267015707
5161,True,54,2,4,20,0.6645962732919255
5161,False,54,2,8,63,0.34065934065934067
2487,True,40,1,1,5,0.7379912663755458
3825,True,14,1,1,9,0.656108597285068
857,False,21,1,11,60,0.656108597285068
3094,False,2,1,1,8,0.656108597285068
493,False,51,1,30,161,0.7379912663755458
2447,False,32,1,4,23,0.6645962732919255
2000,True,23,1,3,15,0.8167539267015707
4480,True,45,1,2,14,0.8167539267015707
5312,True,25,1,5,26,0.7379912663755458
5072,True,16,1,11,61,0.34065934065934067
5272,True,25,1,7,30,0.7379912663755458
2416,True,17,1,9,54,0.8167539267015707
5247,True,13,1,5,25,0.7379912663755458
5144,True,26,1,7,40,0.34065934065934067
5194,True,42,1,11,45,0.34065934065934067
5090,True,31,1,11,55,0.34065934065934067
1360,False,14,1,3,17,0.656108597285068
1704,True,26,1,3,14,0.7379912663755458
5326,True,19,1,11,70,0.7379912663755458
4413,False,40,1,8,43,0.7379912663755458
1277,True,40,1,11,66,0.8167539267015707
1274,True,65,1,3,15,0.8167539267015707
985,False,46,4,8,40,0.656108597285068
985,True,46,4,13,81,0.7379912663755458
985,True,46,4,2,15,0.7379912663755458
985,False,46,4,22,123,0.7379912663755458
5125,True,23,1,8,44,0.34065934065934067
83,False,51,2,9,53,0.656108597285068
83,False,51,2,3,21,0.7379912663755458
3129,True,4,1,1,6,0.656108597285068
2602,False,22,1,3,25,0.656108597285068
4594,True,42,2,4,19,0.8167539267015707
4594,True,42,2,4,17,0.8167539267015707
414,True,40,2,5,30,0.7379912663755458
414,False,40,2,11,61,0.8167539267015707
5284,False,25,3,17,82,0.7379912663755458
5284,False,25,3,11,53,0.7379912663755458
5284,False,25,3,4,20,0.7379912663755458
2460,True,21,1,3,24,0.7379912663755458
1354,True,7,3,2,10,0.6645962732919255
1354,True,7,3,5,29,0.656108597285068
1354,True,7,3,3,19,0.656108597285068
5126,True,23,1,5,30,0.34065934065934067
5287,True,63,1,7,30,0.7379912663755458
5280,True,18,1,6,30,0.7379912663755458
5190,True,16,1,5,32,0.34065934065934067
4596,True,25,1,4,20,0.8167539267015707
2480,True,25,1,4,29,0.7379912663755458
1785,True,21,1,3,29,0.656108597285068
600,False,44,1,5,26,0.8167539267015707
3789,True,46,3,13,85,0.656108597285068
3789,True,46,3,8,49,0.656108597285068
3789,True,46,3,4,27,0.656108597285068
2068,True,32,1,9,49,0.8167539267015707
1773,False,46,1,5,35,0.8167539267015707
853,True,47,3,8,29,0.8167539267015707
853,False,47,3,20,125,0.8167539267015707
853,True,47,3,4,19,0.8167539267015707
200,False,27,1,5,30,0.7379912663755458
2050,True,26,2,5,21,0.7379912663755458
2050,False,26,2,18,98,0.8167539267015707
5364,True,51,2,4,17,0.7379912663755458
5364,True,51,2,5,31,0.6645962732919255
5152,True,11,1,3,18,0.34065934065934067
17,True,23,1,5,30,0.656108597285068
5078,True,40,1,12,67,0.34065934065934067
4565,False,11,1,1,7,0.656108597285068
5195,True,31,1,12,80,0.34065934065934067
